type,prix,adresse,image
Chaussures crocs,3 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3874877_uploaded_image1_1662993378.jpg
Chaussures crocs,3 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3874870_uploaded_image1_1662993234.jpg
Chaussures enfants ,Prix sur demande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3887647_uploaded_image1_1663793770.jpg
Chaussures enfants,15 000,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3886285_uploaded_image1_1663727518.jpg
Chaussures filles,6 000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3869546_uploaded_image1_1662655575.jpg
Chaussures fille ,3 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3853482_uploaded_image1_1661882915.jpg
Chaussures fille ,2 500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3853480_uploaded_image1_1661882766.jpg
Chaussures enfants,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3851925_uploaded_image1_1661800790.jpg
Baskets enfant,12 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3848408_uploaded_image1_1661541004.jpg
Chaussures enfants,5 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3804708_uploaded_image1_1659095376.jpg
Chaussures enfants,10 000,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3824846_uploaded_image1_1660191219.jpg
Sandales africaines enfants,1 500,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_3778619_uploaded_image1_1657354885.jpg
Chaussures enfants,7 000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_3777593_uploaded_image1_1657274825.jpg
Chaussures enfants,7 000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_3777592_uploaded_image1_1657274783.jpg
Chaussures enfant,12 500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3771424_uploaded_image1_1656942212.jpg
Claquettes enfant ,1 250,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3768510_uploaded_image1_1656771169.jpg
